update,total_loss,policy_loss,value_loss,entropy
1031,-0.0055,0.0,0.0077,0.9336
1032,-0.0052,0.0003,0.0075,0.9302
1033,-0.0051,0.0003,0.0078,0.9297
1034,-0.0054,0.0016,0.0044,0.9254
1035,-0.0019,-0.0001,0.0154,0.9446
1036,-0.0088,-0.0009,0.0032,0.9425
1037,-0.0063,-0.0003,0.0066,0.9359
1038,0.032,0.0014,0.0803,0.9477
1039,0.0103,0.0005,0.0389,0.9609
1040,-0.0026,0.0005,0.0124,0.9297
1041,-0.0065,0.0005,0.0045,0.9228
1042,-0.0069,0.0007,0.0033,0.9268
1043,-0.003,-0.0003,0.013,0.9257
1044,-0.0091,-0.0012,0.0029,0.9269
1045,-0.008,-0.0005,0.0037,0.9242
1046,-0.0066,-0.0005,0.0065,0.9402
1047,-0.0092,-0.0009,0.0022,0.9387
1048,-0.0064,0.0001,0.0056,0.9321
1049,-0.0042,0.0006,0.0091,0.9294
1050,0.045,0.0005,0.1078,0.9371
1051,0.0297,0.0017,0.0751,0.9601
1052,0.0062,0.0004,0.0305,0.9463
1053,-0.0016,0.0004,0.0148,0.9321
1054,0.0002,0.0005,0.0179,0.9303
1055,-0.0076,0.0002,0.003,0.9361
1056,-0.0049,-0.0004,0.0095,0.9315
1057,-0.0025,0.0004,0.0132,0.9506
1058,-0.0049,0.0002,0.0086,0.9494
1059,-0.005,-0.0001,0.0093,0.9477
1060,-0.0039,0.0007,0.0097,0.943
1061,-0.0078,0.0002,0.0026,0.9371
1062,-0.0081,-0.0002,0.003,0.9421
1063,-0.0076,-0.0003,0.0045,0.9455
1064,-0.0043,0.0001,0.01,0.9439
1065,-0.0056,0.0005,0.0068,0.942
1066,-0.0054,-0.0001,0.0081,0.9379
1067,-0.0032,-0.0002,0.0128,0.9404
1068,-0.0056,-0.0001,0.0084,0.9662
1069,-0.0056,-0.0002,0.0087,0.9694
1070,-0.0068,0.0004,0.0047,0.9622
1071,-0.0064,0.0003,0.0056,0.9587
1072,0.0164,0.0,0.0519,0.9536
1073,-0.0007,0.0,0.0176,0.9496
1074,0.0131,0.0008,0.0437,0.9501
1075,-0.0052,0.0006,0.0075,0.9557
1076,-0.0072,0.0004,0.0038,0.948
1077,-0.007,0.0004,0.0042,0.9516
1078,-0.0101,-0.0019,0.0025,0.9431
1079,-0.0062,-0.0,0.0067,0.961
1080,-0.008,0.0003,0.0026,0.959
1081,-0.005,0.0007,0.0076,0.9536
1082,-0.0064,-0.0004,0.0069,0.9455
1083,-0.0053,-0.0003,0.0087,0.9406
1084,-0.0039,0.0009,0.0092,0.9459
1085,-0.0071,0.0012,0.0023,0.9418
1086,-0.0077,-0.0005,0.0043,0.9453
1087,0.0065,0.0003,0.0314,0.9447
1088,0.0144,-0.0001,0.0479,0.9537
1089,0.0054,-0.0003,0.0306,0.9552
1090,-0.0048,-0.0006,0.0107,0.9591
1091,-0.0038,-0.0003,0.0123,0.9595
1092,-0.0066,-0.0001,0.006,0.9483
1093,-0.0058,-0.0005,0.0083,0.9441
1094,-0.0075,0.0001,0.0036,0.9421
1095,-0.0041,0.0002,0.0102,0.945
1096,-0.0066,0.0003,0.0049,0.9377
1097,-0.007,0.0007,0.0034,0.941
1098,-0.0075,-0.0001,0.004,0.9396
1099,-0.0094,-0.0018,0.0037,0.9451
1100,-0.0026,-0.0006,0.0149,0.9471
1101,-0.0081,-0.0002,0.0036,0.9693
1102,-0.0075,-0.0002,0.0046,0.9672
1103,-0.0014,-0.0001,0.0166,0.9594
1104,-0.0051,0.0002,0.0083,0.955
1105,-0.0044,-0.0002,0.0103,0.9434
1106,-0.0046,0.0005,0.0088,0.948
1107,0.0047,0.0004,0.0276,0.9506
1108,-0.0039,-0.0003,0.0118,0.9499
1109,-0.0066,0.0008,0.0041,0.9444
1110,-0.0063,0.0009,0.0045,0.9508
1111,-0.005,-0.0005,0.01,0.9548
1112,-0.0059,-0.0,0.0077,0.9702
1113,-0.0077,0.0005,0.0029,0.9668
1114,-0.007,-0.0003,0.0058,0.9554
1115,-0.0053,-0.0001,0.0086,0.95
1116,0.0139,-0.0,0.0468,0.9464
1117,-0.0031,0.0004,0.0122,0.9562
1118,-0.0067,0.0002,0.0053,0.9574
1119,0.0166,-0.0008,0.0543,0.9793
1120,-0.0031,-0.0002,0.0134,0.958
1121,-0.0064,0.0008,0.0044,0.9426
1122,-0.0075,0.0008,0.0022,0.9433
1123,-0.0037,0.0,0.0118,0.9659
1124,-0.008,0.0003,0.0028,0.9652
1125,-0.0071,-0.0001,0.005,0.9575
1126,-0.0087,-0.0005,0.0028,0.9527
1127,-0.0046,0.0003,0.0092,0.9481
1128,-0.0077,-0.0009,0.0054,0.9471
1129,-0.0066,0.0008,0.004,0.9405
1130,-0.0077,0.0003,0.0029,0.9446
1131,-0.0069,-0.0002,0.0057,0.9488
1132,-0.0068,0.0015,0.0025,0.9579
1133,-0.0077,0.0006,0.0028,0.9668
1134,-0.0066,-0.0,0.0062,0.9705
1135,-0.0069,-0.0003,0.0062,0.9735
1136,-0.0083,-0.0009,0.0044,0.9618
1137,-0.0074,0.0002,0.0039,0.956
1138,-0.0013,-0.0002,0.0168,0.9538
1139,-0.0042,0.0002,0.0104,0.961
1140,0.0026,-0.0008,0.0259,0.9582
1141,0.0024,0.0004,0.0233,0.9618
