update,total_loss,policy_loss,value_loss,entropy
450,-0.0077,0.0048,0.0019,1.3464
451,-0.0155,-0.006,0.0079,1.3484
452,-0.0131,-0.0018,0.0043,1.347
453,-0.007,0.0,0.0128,1.3477
454,-0.0086,0.0009,0.008,1.3489
455,-0.0061,-0.0032,0.0213,1.351
456,-0.0042,0.0002,0.0182,1.3509
457,0.0049,0.0023,0.0323,1.3511
458,-0.0089,-0.0014,0.012,1.3491
459,-0.0174,-0.0071,0.0063,1.3488
460,-0.0182,-0.0064,0.0033,1.3498
461,-0.016,-0.0054,0.0056,1.3485
462,-0.0107,-0.001,0.0077,1.3474
463,-0.0135,-0.0039,0.0078,1.3473
464,-0.0154,-0.0041,0.0044,1.3473
465,-0.0162,-0.0063,0.0072,1.3499
466,-0.0125,-0.0045,0.0111,1.3494
467,-0.0042,0.0005,0.0175,1.3489
468,-0.0137,-0.003,0.0057,1.3488
469,-0.004,0.0001,0.0188,1.3491
470,-0.0123,-0.0008,0.0039,1.3488
471,-0.0101,-0.003,0.0128,1.3474
472,-0.0076,-0.0036,0.0188,1.3464
473,-0.0015,-0.006,0.0359,1.3468
474,0.0134,0.0018,0.0502,1.3489
475,0.0116,-0.0,0.0503,1.3498
476,0.0026,-0.0037,0.0395,1.3467
477,-0.0137,-0.0032,0.0059,1.3457
478,-0.012,-0.0019,0.0068,1.3462
479,-0.014,-0.0035,0.0059,1.3464
480,-0.0203,-0.0078,0.002,1.347
481,-0.0052,0.001,0.0146,1.3465
482,-0.0134,-0.0022,0.0045,1.3457
483,-0.0122,-0.0009,0.0042,1.3451
484,-0.0041,0.0,0.0188,1.3462
485,0.0003,-0.0025,0.0327,1.3488
486,0.0025,-0.0049,0.0418,1.3471
487,-0.0095,0.001,0.006,1.3462
488,-0.0162,-0.0049,0.0044,1.346
489,-0.0115,-0.0015,0.0069,1.3464
490,-0.0106,0.0017,0.0025,1.3472
491,-0.0115,-0.0027,0.0095,1.3461
492,-0.0174,-0.006,0.0042,1.345
493,-0.0167,-0.0065,0.0064,1.3449
494,-0.0084,-0.0006,0.0113,1.3449
495,-0.0145,-0.0056,0.0089,1.345
496,-0.015,-0.0035,0.0039,1.3451
497,-0.0152,-0.0039,0.0044,1.3456
498,-0.0143,-0.0049,0.0081,1.3449
499,-0.0129,-0.0014,0.0038,1.344
500,-0.0147,-0.0033,0.0041,1.3447
501,-0.0167,-0.0055,0.0044,1.3442
502,-0.0126,-0.0042,0.0102,1.3434
503,-0.0066,-0.0006,0.0148,1.3415
504,-0.0074,0.001,0.0101,1.3414
505,0.0065,-0.0005,0.0409,1.3427
506,-0.0019,-0.0023,0.0277,1.3445
507,-0.0141,-0.0045,0.0078,1.3459
508,-0.0031,0.0024,0.0159,1.3453
509,-0.0127,-0.0023,0.006,1.3445
510,-0.0127,-0.0006,0.0026,1.3453
511,-0.014,-0.0047,0.0083,1.3424
512,-0.014,-0.0026,0.0041,1.3413
513,-0.013,-0.0024,0.0056,1.3419
514,-0.0116,-0.0046,0.013,1.3426
515,-0.0045,-0.0009,0.0196,1.345
516,-0.0118,-0.0025,0.0083,1.343
517,-0.0123,-0.0063,0.0149,1.3419
518,-0.0111,-0.0025,0.0097,1.3418
519,-0.0132,-0.0076,0.0155,1.3419
520,-0.0148,-0.0049,0.0071,1.3419
521,-0.0079,-0.0038,0.0186,1.339
522,-0.0133,-0.0017,0.0036,1.3381
523,-0.0124,-0.0025,0.0071,1.3372
