update,total_loss,policy_loss,value_loss,entropy
1245,0.0383,-0.0003,0.1026,1.2669
1246,0.0091,-0.0001,0.0434,1.2546
1247,0.0402,0.0,0.1054,1.2525
1248,0.0627,-0.0003,0.1511,1.2583
1249,0.077,-0.0013,0.1819,1.2686
1250,0.0044,0.0002,0.0337,1.2653
1251,0.0455,-0.0006,0.1171,1.25
1252,0.0694,-0.0003,0.1645,1.2565
1253,0.0497,-0.0001,0.1246,1.2587
1254,0.0355,0.001,0.0943,1.2624
1255,0.0375,0.0004,0.0995,1.2631
1256,0.0143,0.0011,0.0516,1.2605
1257,0.015,0.0007,0.0537,1.2545
1258,0.0241,0.0003,0.0726,1.2521
1259,0.0439,-0.0001,0.1132,1.2531
1260,-0.0023,-0.0034,0.0272,1.2557
1261,0.0308,-0.0,0.0866,1.2493
1262,0.0508,0.0003,0.1261,1.252
1263,0.082,0.0006,0.1878,1.253
1264,0.0565,0.0005,0.1373,1.2581
1265,0.0558,0.0003,0.1361,1.2543
1266,0.0131,0.0002,0.0509,1.2531
1267,0.0178,-0.0001,0.0608,1.2524
1268,0.0109,0.0013,0.0442,1.2519
1269,0.0312,0.0002,0.0872,1.2551
1270,0.0036,0.0017,0.0289,1.2522
1271,0.0209,-0.0009,0.0685,1.2472
1272,0.0337,0.0004,0.0917,1.25
1273,0.0255,-0.0002,0.0764,1.2506
1274,0.0101,0.0006,0.044,1.251
1275,0.0083,-0.0006,0.0429,1.2488
1276,0.0067,0.0001,0.0383,1.2519
1277,0.0318,0.0001,0.0884,1.2543
1278,0.0372,0.0005,0.0986,1.2543
1279,0.0115,-0.0012,0.0505,1.2536
1280,-0.0096,-0.002,0.0098,1.2492
1281,0.0246,-0.0,0.0741,1.2461
1282,0.0341,0.0003,0.0926,1.2524
1283,0.0278,0.0003,0.0801,1.2489
1284,0.0311,0.0001,0.0869,1.2506
1285,0.0058,0.0003,0.036,1.2499
1286,0.0039,-0.0001,0.0332,1.2566
1287,0.0126,0.0007,0.0489,1.2537
1288,0.005,0.0006,0.0338,1.2536
1289,0.0388,0.0004,0.102,1.2579
1290,-0.0036,0.0036,0.0104,1.2482
1291,0.0113,0.0004,0.0469,1.2467
1292,0.0252,0.0002,0.0749,1.2485
1293,0.025,-0.0003,0.0758,1.2537
1294,0.0313,0.0016,0.0844,1.2577
1295,0.0145,0.0012,0.0518,1.256
1296,0.0086,0.0008,0.0406,1.2594
1297,0.0314,-0.0002,0.0883,1.2563
1298,0.005,0.0002,0.0347,1.2498
1299,0.0047,0.0006,0.0332,1.2482
1300,-0.0037,0.0014,0.0148,1.2479
1301,0.003,-0.0011,0.0331,1.2458
